claim_id|claim_number|policy_id|loss_date|fnol_date|reported_date|peril_type|loss_description|claim_status|reserve_amount|settlement_amount|close_date|adjuster_id|adjuster_notes|subrogation_flag|fraud_flag|cat_event_name|litigation_flag|created_date|modified_date
CLM00000021|CLM-2024-3698136|POL9000013|2020-07-31|2020-09-11|2020-09-11|Tree Fall|Tree Fall related loss reported by policyholder|Closed|14921.86|14120.8|2021-01-31|ADJ5363||N|N||N|2020-09-11|2020-12-26
CLM00000022|CLM-2024-8886956|POL9000017|2020-05-20|2020-06-26|2020-06-26|Flood|Flood related loss reported by policyholder|Closed|90801.45|37042.77|2021-08-22|ADJ3240|Third party involved.|N|N||N|2020-06-26|2020-09-11
CLM00000023|CLM-2024-8846363|POL9000048|2021-09-24|2021-10-14|2021-10-14|Hail|Hail related loss reported by policyholder|Pending|108690.2|||ADJ7067|Documentation pending.|Y|N||N|2021-10-14|2021-12-24
CLM00000024|CLM-2024-5803828|POL9000025|2020-06-14|2020-07-07|2020-07-07|Fire|Fire related loss reported by policyholder|Withdrawn|147073.13|||ADJ2304||N|N||N|2020-07-07|2020-08-23
CLM00000025|CLM-2024-4868713|POL9000036|2022-09-12|2022-10-03|2022-10-03|Wind/Hail|Wind/Hail related loss reported by policyholder|Open|53503.42|||ADJ6781|Initial inspection completed. Damage confirmed.|N|N||N|2022-10-03|2022-10-22
CLM00000026|CLM-2024-7330180|POL9000038|2022-04-17|2022-04-27|2022-04-27|Vandalism|Vandalism related loss reported by policyholder|Settled|111197.77|107175.94|2022-08-01|ADJ2538||Y|N||N|2022-04-27|2022-07-11
CLM00000027|CLM-2024-5979799|POL9000024|2021-01-11|2021-02-13|2021-02-13|Wind/Hail|Wind/Hail related loss reported by policyholder|Open|40765.86|||ADJ8301|Third party involved.|N|N||N|2021-02-13|2021-03-16
CLM00000028|CLM-2024-8112878|POL9000001|2022-04-15|2022-05-11|2022-05-11|Wind/Hail|Wind/Hail related loss reported by policyholder|Settled|132079.65|95701.2|2023-06-20|ADJ8166||N|N||N|2022-05-11|2022-08-18
CLM00000029|CLM-2024-4773061|POL9000021|2022-01-27|2022-02-21|2022-02-21|Cyber Incident|Cyber Incident related loss reported by policyholder|Open|99704.81|||ADJ6496||N|N||N|2022-02-21|2022-05-12
CLM00000030|CLM-2024-1154782|POL9000024|2023-02-23|2023-07-18|2023-07-18|Cyber Incident|Cyber Incident related loss reported by policyholder|Denied|90248.98|||ADJ2494|Initial inspection completed. Damage confirmed.|N|N||N|2023-07-18|2023-10-11
CLM00000031|CLM-2024-4708938|POL9000001|2022-03-14|2022-03-14|2022-03-14|Tree Fall|Tree Fall related loss reported by policyholder|Closed|71805.61|62551.16|2023-08-16|ADJ5708||Y|N||N|2022-03-14|2022-05-02
CLM00000032|CLM-2024-3234126|POL9000039|2021-08-29|2021-09-03|2021-09-03|Vandalism|Vandalism related loss reported by policyholder|Open|40771.68|||ADJ7401|Initial inspection completed. Damage confirmed.|N|N||N|2021-09-03|2021-11-20
CLM00000033|CLM-2024-8615229|POL9000010|2022-04-05|2022-05-06|2022-05-06|Theft|Theft related loss reported by policyholder|Closed|75623.75|52418.77|2022-07-28|ADJ2401||Y|N||N|2022-05-06|2022-10-27
CLM00000034|CLM-2024-4112922|POL9000042|2023-01-31|2023-01-31|2023-01-31|Collision|Collision related loss reported by policyholder|Denied|50304.45|||||N|N||N|2023-01-31|2023-04-03
CLM00000035|CLM-2024-5939223|POL9000006|2021-02-13|2021-03-06|2021-03-06|Flood|Flood related loss reported by policyholder|Under Review||||ADJ6825||Y|N|Texas Winter Storm|N|2021-03-06|2021-05-23
CLM00000036|CLM-2024-1839668|POL9000042|2021-12-29|2022-02-05|2022-02-05|General Liability|General Liability related loss reported by policyholder|Denied|96288.91|||ADJ4734|Documentation pending.|Y|N||N|2022-02-05|2022-07-08
CLM00000037|CLM-2024-7823086|POL9000012|2020-07-11|2020-07-17|2020-07-17|Tree Fall|Tree Fall related loss reported by policyholder|Pending|39819.26|||ADJ2687|Third party involved.|N|N||N|2020-07-17|2020-11-29
CLM00000038|CLM-2024-4600689|POL9000043|2021-08-29|2021-09-12|2021-09-12|Collision|Collision related loss reported by policyholder|Settled|115616.2|114601.8|2022-02-03|ADJ5915||N|N||N|2021-09-12|2021-11-07
CLM00000039|CLM-2024-5314934|POL9000020|2020-12-23|2021-01-26|2021-01-26|Wind/Hail|Wind/Hail related loss reported by policyholder|Under Review|124534.47||||Documentation pending.|N|N||N|2021-01-26|2021-05-21
CLM00000040|CLM-2024-6171424|POL9000050|2020-02-06|2020-03-05|2020-03-05|Business Interruption|Business Interruption related loss reported by policyholder|Closed|144676.07|95647.74|2020-12-15|ADJ2218||N|N||N|2020-03-05|2020-03-13
CLM00000041|CLM-2024-8412946|POL9000002|2020-07-02|2020-07-21|2020-07-21|Flood|Flood related loss reported by policyholder|Open|30300.91|||ADJ7181||N|N||N|2020-07-21|2021-01-06
CLM00000042|CLM-2024-6771065|POL9000044|2021-07-14|2021-08-26|2021-08-26|General Liability|General Liability related loss reported by policyholder|Denied|100032.49|||ADJ3964||N|N||N|2021-08-26|2021-12-24
CLM00000043|CLM-2024-8190256|POL9000002|2022-12-21|2023-01-12|2023-01-12|Uninsured Motorist|Uninsured Motorist related loss reported by policyholder|Open|40418.84|||ADJ8619|Awaiting appraisal.|N|N||N|2023-01-12|2023-06-08
CLM00000044|CLM-2024-4923156|POL9000015|2022-03-28|2022-04-30|2022-04-30|Lightning|Lightning related loss reported by policyholder|Settled|13426.45|9580.25|2023-03-12|ADJ1518||N|N||N|2022-04-30|2022-06-09
CLM00000045|CLM-2024-4131256|POL9000036|2021-09-16|2022-03-01|2022-03-01|Pipe Burst|Pipe Burst related loss reported by policyholder|Closed|96571.71|45410.1|2023-06-10|ADJ6249||N|N||N|2022-03-01|2022-05-10
CLM00000046|CLM-2024-3279758|POL9000032|2020-11-20|2020-12-15|2020-12-15|Property Damage|Property Damage related loss reported by policyholder|Closed|19468.01|14116.59|2021-12-16|ADJ1594||N|N||N|2020-12-15|2021-01-12
CLM00000047|CLM-2024-2499523|POL9000029|2021-10-17|2021-11-24|2021-11-24|Fire|Fire related loss reported by policyholder|Closed|75855.66|24679.1|2022-01-22|ADJ7741||Y|N||N|2021-11-24|2021-12-25
CLM00000048|CLM-2024-3578699|POL9000030|2023-01-11|2023-01-18|2023-01-18|Fire|Fire related loss reported by policyholder|Denied|106888.56|||ADJ5166||N|N||N|2023-01-18|2023-05-08
CLM00000049|CLM-2024-2486436|POL9000004|2021-06-03|2021-07-03|2021-07-03|Pipe Burst|Pipe Burst related loss reported by policyholder|Closed|24293.56|25522.34|2021-10-29|ADJ8335||N|N||N|2021-07-03|2021-12-01
CLM00000050|CLM-2024-6761659|POL9000013|2022-02-06|2022-02-06|2022-02-06|Fire|Fire related loss reported by policyholder|Under Review|144883.62|||ADJ3310||N|N||N|2022-02-06|2022-05-29
CLM00000051|CLM-2024-8423939|POL0001649|2023-03-08|2023-04-21|2023-04-21|Collision|Collision related loss reported by policyholder|Withdrawn|128814.14|||ADJ5547||N|N||N|2023-04-21|2023-10-06
CLM00000052|CLM-2024-8656780|POL0000473|2021-10-05|2021-11-11|2021-11-11|Fire|Fire related loss reported by policyholder|Under Review|80886.3|||ADJ8055|Documentation pending.|N|N||N|2021-11-11|2022-03-03
CLM00000053|CLM-2024-4253454|POL0004841|2023-05-18|2023-06-19|2023-06-19|Comprehensive|Comprehensive related loss reported by policyholder|Closed|59341.27|53130.28|2024-03-02|ADJ5019|Third party involved.|Y|N||Y|2023-06-19|2023-11-10
CLM00000054|CLM-2024-1914227|POL0001497|2020-08-28|2020-09-15|2020-09-15|Hail|Hail related loss reported by policyholder|Settled|58281.55|44708.14|2022-02-04|ADJ9328|Awaiting appraisal.|N|N|Hurricane Laura|N|2020-09-15|2020-12-02
CLM00000055|CLM-2024-3817513|POL0000883|2024-11-17|2024-11-30|2024-11-30|Property Damage|Property Damage related loss reported by policyholder|Settled|95500.46|71339.74|2026-02-18|ADJ6906||N|N||N|2024-11-30|2025-04-22
CLM00000056|CLM-2024-8781856|POL0002261|2019-12-07|2020-01-12|2020-01-12|Flood|Flood related loss reported by policyholder|Pending|133866.26|||ADJ2618||Y|N||N|2020-01-12|2020-03-03
CLM00000057|CLM-2024-8152575|POL0002474|2019-07-05|2019-09-04|2019-09-04|Vandalism|Vandalism related loss reported by policyholder|Open|36758.51|||ADJ5602||N|N||Y|2019-09-04|2020-02-18
CLM00000058|CLM-2024-6242930|POL0003328|2020-01-26|2020-04-14|2020-04-14|Wind/Hail|Wind/Hail related loss reported by policyholder|Closed|23353.74|7501.35|2021-04-06|ADJ1037|Documentation pending.|N|N||N|2020-04-14|2020-06-05
CLM00000059|CLM-2024-8688589|POL0003621|2023-05-13|2023-05-13|2023-05-13|Flood|Flood related loss reported by policyholder|Under Review|34559.07|||ADJ3333||Y|N||N|2023-05-13|2023-08-27
CLM00000060|CLM-2024-7364698|POL0001836|2019-12-15|2020-02-27|2020-02-27|Hail|Hail related loss reported by policyholder|Open|61802.06|||ADJ3790||N|N||N|2020-02-27|2020-04-28
CLM00000061|CLM-2024-9338164|POL0002437|2021-04-22|2021-05-13|2021-05-13|Theft/Burglary|Theft/Burglary related loss reported by policyholder|Pending|87382.4|||ADJ8435|Awaiting appraisal.|N|N||N|2021-05-13|2021-08-20
CLM00000062|CLM-2024-3103866|POL0002306|2021-10-23|2021-10-27|2021-10-27|Wind/Hail|Wind/Hail related loss reported by policyholder|Closed|40629.73|33306.44|2021-12-15|ADJ1436||N|N||N|2021-10-27|2022-04-10
CLM00000063|CLM-2024-6408888|POL0003355|2024-07-08|2024-08-16|2024-08-16|Vandalism|Vandalism related loss reported by policyholder|Withdrawn|127637.76|||||N|N||N|2024-08-16|2024-12-06
CLM00000064|CLM-2024-9435753|POL0001402|2020-11-16|2020-12-20|2020-12-20|Pipe Burst|Pipe Burst related loss reported by policyholder|Closed||||||Y|N||N|2020-12-20|2021-04-30
CLM00000065|CLM-2024-4611750|POL0003717|2021-01-01|2021-02-27|2021-02-27|Hit and Run|Hit and Run related loss reported by policyholder|Closed|129381.35|136613.48|2022-07-27|ADJ1047||N|N||N|2021-02-27|2021-05-08
CLM00000066|CLM-2024-5602826|POL0003554|2019-01-21|2019-01-26|2019-01-26|Pipe Burst|Pipe Burst related loss reported by policyholder|Open|1953.15|||ADJ2726||N|N||N|2019-01-26|2019-07-19
CLM00000067|CLM-2024-7544648|POL0001674|2018-12-12|2019-01-18|2019-01-18|Fire|Fire related loss reported by policyholder|Closed|79703.09|49516.46|2019-07-16|ADJ8856||Y|N||N|2019-01-18|2019-03-17
CLM00000068|CLM-2024-2343017|POL0002550|2022-10-24|2022-12-04|2022-12-04|Fire|Fire related loss reported by policyholder|Open|42225.56|||ADJ7420||N|N||N|2022-12-04|2023-01-14
CLM00000069|CLM-2024-3617294|POL0003160|2021-03-16|2021-08-08|2021-08-08|Foundation Damage|Foundation Damage related loss reported by policyholder|Under Review|64254.05|||ADJ8580||N|N||N|2021-08-08|2021-12-03
CLM00000070|CLM-2024-9573850|POL0003968|2019-11-20|2019-12-02|2019-12-02|General Liability|General Liability related loss reported by policyholder|Under Review|75040.71|||ADJ6958||Y|N||N|2019-12-02|2019-12-31
CLM00000071|CLM-2024-5103518|POL0001558|2024-10-06|2024-11-09|2024-11-09|Wind/Hail|Wind/Hail related loss reported by policyholder|Closed|54261.7|19200.43|2025-11-03|ADJ7690|Third party involved.|N|N||N|2024-11-09|2025-03-07
CLM00000072|CLM-2024-1332036|POL0000487|2019-05-30|2019-06-22|2019-06-22|Collision|Collision related loss reported by policyholder|Pending|26023.43|||ADJ4318|Third party involved.|N|N||N|2019-06-22|2019-08-15
CLM00000073|CLM-2024-4998701|POL0000328|2023-06-24|2023-06-27|2023-06-27|Fire|Fire related loss reported by policyholder|Closed|23835.11|10984.54|2024-08-17|ADJ5972|Documentation pending.|N|N||N|2023-06-27|2023-07-23
CLM00000074|CLM-2024-6472728|POL0004723|2024-10-11|2024-10-29|2024-10-29|Comprehensive|Comprehensive related loss reported by policyholder|Settled|42320.2|45660.06|2025-04-15|ADJ2290||N|N||N|2024-10-29|2025-02-18
CLM00000075|CLM-2024-8446863|POL0004479|2019-10-05|2019-11-18|2019-11-18|Tree Fall|Tree Fall related loss reported by policyholder|Open|98760.11|||ADJ3831||N|N||N|2019-11-18|2020-04-11
CLM00000076|CLM-2024-8131271|POL0004625|2019-11-16|2019-12-20|2019-12-20|Flood|Flood related loss reported by policyholder|Closed|86559.55|69713.35|2020-11-27|ADJ8620|Initial inspection completed. Damage confirmed.|N|N||N|2019-12-20|2020-06-17
CLM00000077|CLM-2024-3088548|POL0003369|2023-06-29|2023-09-05|2023-09-05|Collision|Collision related loss reported by policyholder|Closed|67379.38|40047.57|2025-02-05|||N|N||N|2023-09-05|2023-10-26
CLM00000078|CLM-2024-8617805|POL0000481|2024-10-31|2024-12-03|2024-12-03|Wind/Hail|Wind/Hail related loss reported by policyholder|Closed|147070.3|89825.9|2025-02-23|ADJ4342||N|N||N|2024-12-03|2025-04-22
CLM00000079|CLM-2024-8336774|POL0002462|2022-02-11|2022-03-16|2022-03-16|Lightning|Lightning related loss reported by policyholder|Pending|15586.16|||ADJ7937||N|N||Y|2022-03-16|2022-04-22
CLM00000080|CLM-2024-1383362|POL0001168|2022-08-11|2022-09-20|2022-09-20|Hit and Run|Hit and Run related loss reported by policyholder|Denied|4649.67|||ADJ3669||N|N||N|2022-09-20|2022-12-21
CLM00000081|CLM-2024-9015508|POL0002509|2019-04-21|2019-04-29|2019-04-29|Hail|Hail related loss reported by policyholder|Closed|12425.65|10200.29|2019-12-22|ADJ9751||N|N||N|2019-04-29|2019-09-14
CLM00000082|CLM-2024-6581860|POL0003108|2022-04-30|2022-05-19|2022-05-19|Fire|Fire related loss reported by policyholder|Closed|116731.49|117972.49|2023-10-21|ADJ8269|Initial inspection completed. Damage confirmed.|N|N||N|2022-05-19|2022-06-18
CLM00000083|CLM-2024-3404992|POL0000196|2022-04-30|2022-09-02|2022-09-02|Foundation Damage|Foundation Damage related loss reported by policyholder|Under Review|128452.46|||ADJ1898||N|N||N|2022-09-02|2023-01-17
CLM00000084|CLM-2024-8527103|POL0001380|2021-10-12|2021-10-22|2021-10-22|Equipment Breakdown|Equipment Breakdown related loss reported by policyholder|Closed|142719.98|152319.51|2022-10-16|ADJ1354||N|N||N|2021-10-22|2022-03-29
CLM00000085|CLM-2024-3128193|POL0003955|2023-10-08|2023-10-27|2023-10-27|Vandalism|Vandalism related loss reported by policyholder|Denied|141938.64|||ADJ8112||Y|N||N|2023-10-27|2024-02-14
CLM00000086|CLM-2024-3277993|POL0004118|2022-08-07|2022-09-28|2022-09-28|Cyber Incident|Cyber Incident related loss reported by policyholder|Withdrawn|66634.0|||ADJ7794||N|N||N|2022-09-28|2022-11-07
CLM00000087|CLM-2024-3796468|POL0000513|2021-11-19|2022-01-22|2022-01-22|Hit and Run|Hit and Run related loss reported by policyholder|Closed|96868.0|97882.76|2022-11-09|ADJ5744|Awaiting appraisal.|Y|N||N|2022-01-22|2022-03-03
CLM00000088|CLM-2024-5478708|POL0002611|2024-02-20|2024-02-21|2024-02-21|Comprehensive|Comprehensive related loss reported by policyholder|Settled|68914.71|59255.11|2024-03-25|ADJ6531|Initial inspection completed. Damage confirmed.|N|N||N|2024-02-21|2024-08-18
CLM00000089|CLM-2024-6359500|POL0003886|2024-08-20|2024-09-08|2024-09-08|Theft|Theft related loss reported by policyholder|Under Review|16867.63|||ADJ4615|Initial inspection completed. Damage confirmed.|N|N||N|2024-09-08|2025-02-11
CLM00000090|CLM-2024-8248069|POL0004737|2023-10-09|2023-10-10|2023-10-10|Uninsured Motorist|Uninsured Motorist related loss reported by policyholder|Under Review|58611.91|||ADJ6754||N|N||N|2023-10-10|2023-11-05
CLM00000091|CLM-2024-8997085|POL0002649|2024-06-30|2024-07-14|2024-07-14|Cyber Incident|Cyber Incident related loss reported by policyholder|Open|47679.18|||ADJ3530||N|N||N|2024-07-14|2024-12-30
CLM00000092|CLM-2024-2472439|POL0004429|2023-01-18|2023-02-12|2023-02-12|Collision|Collision related loss reported by policyholder|Closed|146265.43|133401.71|2023-11-19|ADJ5499||Y|N||N|2023-02-12|2023-06-17
CLM00000093|CLM-2024-8357159|POL0004800|2022-12-31|2023-01-19|2023-01-19|Vandalism|Vandalism related loss reported by policyholder|Closed|127165.7|109425.0|2023-09-01|ADJ7834|Initial inspection completed. Damage confirmed.|N|N||N|2023-01-19|2023-06-11
CLM00000094|CLM-2024-8025614|POL0004072|2021-10-20|2021-10-31|2021-10-31|Business Interruption|Business Interruption related loss reported by policyholder|Closed|63213.14|23953.85|2022-07-21|ADJ8460||N|N||N|2021-10-31|2022-03-31
CLM00000095|CLM-2024-3917841|POL0000233|2020-09-03|2020-10-04|2020-10-04|Hail|Hail related loss reported by policyholder|Under Review|26402.02|||ADJ6368||N|N||N|2020-10-04|2021-02-20
CLM00000096|CLM-2024-3771876|POL0003262|2021-09-20|2021-10-29|2021-10-29|Tree Fall|Tree Fall related loss reported by policyholder|Under Review|136011.79|||ADJ5779||N|N||N|2021-10-29|2021-12-20
CLM00000097|CLM-2024-8550488|POL0003513|2022-12-10|2023-01-12|2023-01-12|Equipment Breakdown|Equipment Breakdown related loss reported by policyholder|Settled|8454.14|8329.85|2023-07-27|ADJ6849||N|N||Y|2023-01-12|2023-01-14
CLM00000098|CLM-2024-5985636|POL0003868|2024-09-11|2024-10-15|2024-10-15|Tree Fall|Tree Fall related loss reported by policyholder|Closed|30141.01|23546.86|2025-01-31|ADJ9347|Third party involved.|N|N||N|2024-10-15|2025-02-18
CLM00000099|CLM-2024-5860815|POL0000243|2021-08-02|2021-09-03|2021-09-03|Fire|Fire related loss reported by policyholder|Pending|6454.26|||ADJ8905||N|N||N|2021-09-03|2021-11-16
CLM00000100|CLM-2024-3885112|POL0000449|2024-04-06|2024-04-21|2024-04-21|Uninsured Motorist|Uninsured Motorist related loss reported by policyholder|Under Review|68629.17|||ADJ9458||N|N||N|2024-04-21|2024-05-29
CLM00000101|CLM-2024-6163809|POL0003045|2021-01-28|2021-01-31|2021-01-31|Tree Fall|Tree Fall related loss reported by policyholder|Closed|13126.54|7356.58|2022-07-13|ADJ7952||N|N||N|2021-01-31|2021-02-20
CLM00000102|CLM-2024-1060103|POL0003980|2019-05-17|2019-06-14|2019-06-14|Wind/Hail|Wind/Hail related loss reported by policyholder|Settled|5353.52|4899.05|2020-10-01|ADJ9050|Awaiting appraisal.|Y|N||N|2019-06-14|2019-10-01
CLM00000103|CLM-2024-2961187|POL0001279|2024-01-27|2024-03-07|2024-03-07|Tree Fall|Tree Fall related loss reported by policyholder|Denied|118890.07|||ADJ2369||Y|N||Y|2024-03-07|2024-04-16
CLM00000104|CLM-2024-2012107|POL0000245|2021-08-02|2021-08-15|2021-08-15|Uninsured Motorist|Uninsured Motorist related loss reported by policyholder|Closed|85911.38|56074.46|2022-02-20|ADJ4359|Awaiting appraisal.|N|N||N|2021-08-15|2021-11-17
CLM00000105|CLM-2024-3037563|POL0003999|2024-10-16|2024-12-05|2024-12-05|Water Damage|Water Damage related loss reported by policyholder|Denied|82329.9|||||Y|N||N|2024-12-05|2024-12-19
CLM00000106|CLM-2024-2909332|POL0004588|2022-08-05|2022-09-10|2022-09-10|Wind/Hail|Wind/Hail related loss reported by policyholder|Open|137304.3|||ADJ1913|Third party involved.|N|N||N|2022-09-10|2022-11-05
CLM00000107|CLM-2024-9474549|POL0002163|2021-11-27|2021-12-04|2021-12-04|Rear-end Collision|Rear-end Collision related loss reported by policyholder|Under Review|93180.68|||ADJ2960|Third party involved.|N|N||N|2021-12-04|2022-01-05
CLM00000108|CLM-2024-1837528|POL0000736|2021-04-30|2021-05-17|2021-05-17|Pipe Burst|Pipe Burst related loss reported by policyholder|Closed|30686.03|9622.16|2021-11-29|ADJ3740||Y|N||N|2021-05-17|2021-10-23
CLM00000109|CLM-2024-8134531|POL0000628|2023-11-11|2023-11-19|2023-11-19|Vandalism|Vandalism related loss reported by policyholder|Denied|15941.07|||ADJ4563|Awaiting appraisal.|N|N||N|2023-11-19|2024-01-20
CLM00000110|CLM-2024-9638674|POL0003451|2019-09-18|2019-09-24|2019-09-24|Fire|Fire related loss reported by policyholder|Closed|6413.25|6884.31|2020-04-02|ADJ5853|Initial inspection completed. Damage confirmed.|N|N||N|2019-09-24|2019-09-26
CLM00000111|CLM-2024-9646686|POL0004970|2023-03-13|2023-03-31|2023-03-31|Fire|Fire related loss reported by policyholder|Open|76263.41|||ADJ6427|Awaiting appraisal.|N|N||Y|2023-03-31|2023-08-08
CLM00000112|CLM-2024-9435607|POL0000934|2023-08-07|2023-08-13|2023-08-13|Hit and Run|Hit and Run related loss reported by policyholder|Open|94418.98|||ADJ9480|Documentation pending.|N|N||N|2023-08-13|2024-01-29
CLM00000113|CLM-2024-4570530|POL0003129|2023-05-15|2023-06-19|2023-06-19|Flood|Flood related loss reported by policyholder|Closed|45310.3|48546.38|2023-09-18|ADJ4940||Y|N||N|2023-06-19|2023-08-21
CLM00000114|CLM-2024-4072664|POL0003652|2020-09-12|2020-10-22|2020-10-22|Uninsured Motorist|Uninsured Motorist related loss reported by policyholder|Closed|43269.88|20166.57|2021-02-09|ADJ4972||Y|N||N|2020-10-22|2020-11-01
CLM00000115|CLM-2024-9428452|POL0004413|2019-09-24|2019-10-07|2019-10-07|Water Damage|Water Damage related loss reported by policyholder|Open|86525.14|||ADJ8684|Documentation pending.|Y|N||N|2019-10-07|2020-01-15
CLM00000116|CLM-2024-2531495|POL0001290|2019-09-27|2020-01-09|2020-01-09|Vandalism|Vandalism related loss reported by policyholder|Pending|67198.8||||Awaiting appraisal.|N|N||N|2020-01-09|2020-06-04
CLM00000117|CLM-2024-2282516|POL0001445|2024-05-07|2024-05-28|2024-05-28|General Liability|General Liability related loss reported by policyholder|Closed|101263.52|31487.08|2025-09-20|ADJ5000||N|N||N|2024-05-28|2024-09-24
CLM00000118|CLM-2024-9349588|POL0001203|2023-01-27|2023-02-23|2023-02-23|Uninsured Motorist|Uninsured Motorist related loss reported by policyholder|Closed|140097.22|111714.19|2024-06-25||Third party involved.|N|N||N|2023-02-23|2023-08-08
CLM00000119|CLM-2024-5283020|POL0002673|2024-10-28|2025-03-17|2025-03-17|Flood|Flood related loss reported by policyholder|Open|2781.14|||ADJ7870||N|N||N|2025-03-17|2025-08-30
CLM00000120|CLM-2024-7113680|POL0001351|2021-07-27|2021-08-25|2021-08-25|Wind/Hail|Wind/Hail related loss reported by policyholder|Open|131635.51|||ADJ4214|Initial inspection completed. Damage confirmed.|N|N||N|2021-08-25|2021-12-14
CLM00000121|CLM-2024-6876554|POL0002462|2021-08-27|2021-10-09|2021-10-09|Pipe Burst|Pipe Burst related loss reported by policyholder|Under Review|21548.39|||ADJ3937||N|N||N|2021-10-09|2022-01-25
