policy_id,policy_number,customer_id,agent_id,coverage_id,line_of_business,policy_status,effective_date,expiration_date,policy_term_months,annual_premium,monthly_premium,deductible,coverage_limit,payment_plan,cancellation_date,cancellation_reason,underwriting_score,risk_state,created_date,modified_date
"POL0000075","PC-AUT-741874","CUST000595","AGT00065","COV010","Auto","Active","2021-06-13","2022-06-08",12,755.57,62.96,250.00,1000000.00,"Monthly",,,"706.0","AZ","2021-06-13","2022-07-18"
"POL0000076","PC-COM-782354","CUST000764","AGT00174","COV034","Commercial","Suspended","2018-12-24","2019-12-19",12,4310.19,359.18,5000.00,50000.00,"Annual",,,"844.0","WA","2018-12-24","2020-05-11"
"POL0000077","PC-AUT-868510","CUST000040","AGT00116","COV009","Auto","Cancelled","2022-08-10","2023-08-05",12,7405.81,617.15,1000.00,500000.00,"Monthly","2023-05-24","Underwriting","728.0","CA","2022-08-10","2022-12-08"
"POL0000078","PC-AUT-322191","CUST001949","AGT00050","COV010","Auto","Active","2019-12-07","2020-06-04",6,2462.80,205.23,5000.00,500000.00,"Semi-Annual",,,"995.0","FL","2019-12-07","2020-06-01"
"POL0000079","PC-COM-419940","CUST001573","AGT00169","COV034","Commercial","Cancelled","2020-05-22","2021-05-17",12,20765.28,1730.44,1000.00,500000.00,"Quarterly","2020-08-25","Fraud Suspected","696.0","KY","2020-05-22","2022-02-24"
"POL0000080","PC-HOM-991069","CUST001121","AGT00067","COV011","Homeowners","Active","2022-02-03","2023-01-29",12,6232.65,519.39,2500.00,500000.00,"Quarterly",,,"502.0","KY","2022-02-03","2023-09-02"
"POL0000081","PC-HOM-420505","CUST000850","AGT00095","COV016","Homeowners","Active","2021-02-08","2022-02-03",12,8364.25,697.02,500.00,100000.00,"Quarterly",,,"654.0","WI","2021-02-08","2022-04-11"
"POL0000082","PC-AUT-417997","CUST001075","AGT00181","COV003","Auto","Suspended","2021-05-11","2023-05-01",24,7009.34,584.11,500.00,50000.00,"Semi-Annual",,,"777.0","TX","2021-05-11","2023-01-30"
"POL0000083","PC-AUT-483176","CUST001840","AGT00131","COV002","Auto","Pending Renewal","2019-04-22","2020-04-16",12,5574.52,464.54,2500.00,50000.00,"Annual",,,"479.0","OK","2019-04-22","2019-07-22"
"POL0000084","PC-AUT-172491","CUST000574","AGT00070","COV002","Auto","Active","2022-03-14","2023-03-09",12,5557.34,463.11,5000.00,250000.00,"Semi-Annual",,,"616.0","MN","2022-03-14","2022-05-28"
"POL0000085","PC-AUT-494655","CUST000593","AGT00170","COV007","Auto","Suspended","2020-08-05","2022-07-26",24,3136.81,261.40,2500.00,250000.00,"Annual",,,"465.0","NV","2020-08-05","2021-10-28"
"POL0000086","PC-AUT-165138","CUST000966","AGT00184","COV002","Auto","Active","2018-05-12","2019-05-07",12,5709.85,475.82,5000.00,250000.00,"Quarterly",,,"494.0","IN","2018-05-12","2018-05-27"
"POL0000087","PC-AUT-493289","CUST000674","AGT00113","COV003","Auto","Active","2020-09-26","2021-09-21",12,1520.44,126.70,5000.00,250000.00,"Semi-Annual",,,,"CA","2020-09-26","2022-07-16"
"POL0000088","PC-COM-307273","CUST001770","AGT00048","COV029","Commercial","Active","2021-02-07","2022-02-02",12,62897.55,5241.46,2500.00,500000.00,"Monthly",,,"791.0","PA","2021-02-07","2021-09-26"
"POL0000089","PC-AUT-725713","CUST000623","AGT00136","COV002","Auto","Active","2019-05-20","2020-05-14",12,6447.49,537.29,250.00,250000.00,"Annual",,,"634.0","CO","2019-05-20","2019-11-26"
"POL0000090","PC-COM-866023","CUST000520","AGT00031","COV029","Commercial","Active","2018-10-02","2019-09-27",12,4243.84,353.65,1000.00,100000.00,"Monthly",,,"663.0","MO","2018-10-02","2019-04-26"
"POL0000091","PC-AUT-425727","CUST001425","AGT00016","COV009","Auto","Active","2019-09-08","2020-09-02",12,5993.27,499.44,1000.00,1000000.00,"Quarterly",,,"720.0","CO","2019-09-08","2021-01-05"
"POL0000092","PC-HOM-718068","CUST000321","AGT00047","COV014","Homeowners","Expired","2022-06-07","2024-05-27",24,4357.41,363.12,1000.00,250000.00,"Monthly",,,"920.0","GA","2022-06-07","2024-01-05"
"POL0000093","PC-AUT-228051","CUST000532","AGT00003","COV003","Auto","Cancelled","2019-11-28","2020-11-22",12,6004.67,500.39,250.00,250000.00,"Monthly","2020-05-19","Insured Request",,"CA","2019-11-28","2021-01-10"
"POL0000094","PC-AUT-561567","CUST000871","AGT00176","COV002","Auto","Cancelled","2020-07-01","2021-06-26",12,6881.70,573.48,5000.00,500000.00,"Monthly","2020-08-16","Underwriting","979.0","TX","2020-07-01","2021-09-15"
"POL0000095","PC-AUT-786140","CUST000411","AGT00099","COV004","Auto","Cancelled","2021-03-06","2022-03-01",12,6889.77,574.15,500.00,1000000.00,"Quarterly","2021-04-21","Insured Request","408.0","CO","2021-03-06","2021-09-09"
"POL0000096","PC-HOM-956832","CUST001113","AGT00046","COV018","Homeowners","Pending Renewal","2020-07-19","2021-07-14",12,5812.36,484.36,1000.00,250000.00,"Monthly",,,"579.0","MO","2020-07-19","2021-12-02"
"POL0000097","PC-AUT-349158","CUST000974","AGT00059","COV002","Auto","Active","2018-07-14","2019-07-09",12,906.34,75.53,1000.00,1000000.00,"Semi-Annual",,,"902.0","AZ","2018-07-14","2018-12-06"
"POL0000098","PC-HOM-330978","CUST001214","AGT00141","COV013","Homeowners","Active","2019-11-21","2020-05-19",6,3152.33,262.69,5000.00,500000.00,"Annual",,,"718.0","GA","2019-11-21","2020-01-30"
"POL0000099","PC-AUT-466807","CUST001704","AGT00079","COV007","Auto","Cancelled","2019-03-18","2021-03-07",24,7657.98,638.16,5000.00,100000.00,"Quarterly","2019-07-11","Non-Payment","998.0","CA","2019-03-18","2019-08-27"
"POL0000100","PC-COM-551371","CUST001347","AGT00044","COV022","Commercial","Expired","2020-05-19","2022-05-09",24,16534.82,1377.90,250.00,1000000.00,"Monthly",,,"527.0","FL","2020-05-19","2021-12-02"
"POL0000101","PC-COM-604797","CUST000950","AGT00029","COV029","Commercial","Pending Renewal","2021-09-16","2023-09-06",24,42759.93,3563.33,1000.00,100000.00,"Monthly",,,"883.0","CO","2021-09-16","2022-12-10"
"POL0000102","PC-AUT-868415","CUST000211","AGT00088","COV001","Auto","Cancelled","2020-06-19","2022-06-09",24,692.65,57.72,2500.00,1000000.00,"Quarterly","2022-05-07","Insured Request","506.0","FL","2020-06-19","2021-03-27"
"POL0000103","PC-HOM-191384","CUST000124","AGT00108","COV012","Homeowners","Active","2019-08-08","2020-08-02",12,2064.23,172.02,5000.00,250000.00,"Quarterly",,,"485.0","CA","2019-08-08","2020-01-29"
"POL0000104","PC-COM-850535","CUST000234","AGT00116","COV029","Commercial","Active","2018-07-23","2019-07-18",12,30702.16,2558.51,500.00,100000.00,"Semi-Annual",,,"410.0","CA","2018-07-23","2019-08-05"
"POL0000105","PC-AUT-308949","CUST000717","AGT00018","COV007","Auto","Active","2018-10-24","2019-10-19",12,3863.08,321.92,2500.00,100000.00,"Monthly",,,"495.0","NC","2018-10-24","2020-01-15"
"POL0000106","PC-AUT-586754","CUST001291","AGT00082","COV005","Auto","Cancelled","2019-08-16","2021-08-05",24,8121.19,676.77,1000.00,500000.00,"Monthly","2019-10-15","Non-Payment","603.0","MO","2019-08-16","2020-06-08"
"POL0000107","PC-AUT-310386","CUST001154","AGT00050","COV005","Auto","Cancelled","2022-08-11","2023-08-06",12,7429.32,619.11,1000.00,100000.00,"Semi-Annual","2023-04-03","Insured Request","499.0","CA","2022-08-11","2023-10-28"
"POL0000108","PC-AUT-575229","CUST000454","AGT00054","COV001","Auto","Cancelled","2020-07-24","2021-07-19",12,4153.00,346.08,1000.00,50000.00,"Monthly","2021-03-17","Non-Payment","788.0","MO","2020-07-24","2021-08-18"
"POL0000109","PC-COM-149548","CUST000419","AGT00147","COV025","Commercial","Cancelled","2020-03-02","2020-08-29",6,3407.50,283.96,5000.00,500000.00,"Quarterly","2020-07-19","Non-Payment","551.0","OR","2020-03-02","2020-10-02"
"POL0000110","PC-AUT-167225","CUST001662","AGT00192","COV009","Auto","Expired","2020-10-13","2021-10-08",12,7411.74,617.64,1000.00,50000.00,"Quarterly",,,"665.0","OH","2020-10-13","2022-05-18"
"POL0000111","PC-COM-152516","CUST001631","AGT00002","COV026","Commercial","Active","2020-11-20","2021-11-15",12,25239.75,2103.31,250.00,1000000.00,"Semi-Annual",,,"797.0","NY","2020-11-20","2022-04-29"
"POL0000112","PC-COM-845458","CUST000977","AGT00165","COV021","Commercial","Active","2021-07-18","2022-07-13",12,40774.88,3397.91,500.00,500000.00,"Annual",,,"620.0","FL","2021-07-18","2021-10-23"
"POL0000113","PC-AUT-448622","CUST000111","AGT00027","COV002","Auto","Pending Renewal","2020-12-30","2022-12-20",24,7489.51,624.13,5000.00,50000.00,"Monthly",,,"823.0","PA","2020-12-30","2022-01-04"
"POL0000114","PC-COM-816884","CUST000486","AGT00089","COV025","Commercial","Active","2018-07-30","2019-01-26",6,72460.73,6038.39,500.00,100000.00,"Monthly",,,"850.0","TX","2018-07-30","2019-06-08"
"POL0000115","PC-AUT-557686","CUST000424","AGT00023","COV007","Auto","Active","2021-11-06","2022-11-01",12,1761.25,146.77,2500.00,500000.00,"Semi-Annual",,,"813.0","AZ","2021-11-06","2022-06-05"
"POL0000116","PC-AUT-809222","CUST000175","AGT00123","COV010","Auto","Active","2021-03-12","2022-03-07",12,1337.34,111.44,500.00,250000.00,"Quarterly",,,"900.0","CA","2021-03-12","2021-11-19"
"POL0000117","PC-COM-558535","CUST001173","AGT00122","COV025","Commercial","Active","2018-05-09","2019-05-04",12,64879.77,5406.65,1000.00,50000.00,"Monthly",,,"728.0","NC","2018-05-09","2020-01-09"
"POL0000118","PC-AUT-533489","CUST001918","AGT00152","COV010","Auto","Active","2020-08-18","2021-08-13",12,6614.87,551.24,250.00,100000.00,"Quarterly",,,"598.0","CA","2020-08-18","2021-04-14"
"POL0000119","PC-HOM-721549","CUST000931","AGT00181","COV011","Homeowners","Expired","2019-02-18","2020-02-13",12,3658.24,304.85,5000.00,500000.00,"Quarterly",,,"718.0","CA","2019-02-18","2019-12-23"
"POL0000120","PC-HOM-328244","CUST000354","AGT00158","COV018","Homeowners","Expired","2019-09-16","2020-09-10",12,4764.65,397.05,500.00,50000.00,"Semi-Annual",,,"900.0","KY","2019-09-16","2020-08-14"
"POL0000121","PC-COM-906908","CUST001004","AGT00097","COV025","Commercial","Active","2022-08-10","2023-08-05",12,67690.21,5640.85,250.00,100000.00,"Quarterly",,,"623.0","KY","2022-08-10","2024-06-21"
"POL0000122","PC-COM-549661","CUST001986","AGT00063","COV024","Commercial","Suspended","2021-01-22","2021-07-21",6,25594.81,2132.90,5000.00,500000.00,"Quarterly",,,"976.0","TN","2021-01-22","2022-05-27"
"POL0000123","PC-COM-976439","CUST001369","AGT00182","COV021","Commercial","Active","2019-09-23","2020-09-17",12,14069.90,1172.49,500.00,250000.00,"Annual",,,"931.0","CA","2019-09-23","2020-11-30"
"POL0000124","PC-HOM-901566","CUST001760","AGT00013","COV019","Homeowners","Pending Renewal","2021-06-05","2022-05-31",12,3814.81,317.90,2500.00,500000.00,"Annual",,,"831.0","CA","2021-06-05","2023-02-16"
"POL0000125","PC-AUT-135097","CUST001042","AGT00195","COV004","Auto","Pending Renewal","2020-06-21","2021-06-16",12,4078.59,339.88,5000.00,250000.00,"Semi-Annual",,,"497.0","LA","2020-06-21","2021-10-14"
